import time: self [us] | cumulative | imported package
import time:      1096 |       4436 |   dotenv
import time:      2456 |       6892 | config
import time:       846 |        846 |     langgraph
import time:       717 |        717 |         langgraph._internal
import time:       945 |       1661 |       langgraph._internal._constants
import time:       604 |        604 |       langgraph.warnings
import time:       619 |       2883 |     langgraph.constants
import time:       666 |        666 |             langchain_core._import_utils
import time:      1186 |       1851 |           langchain_core._api
import time:       663 |        663 |           langchain_core._api.internal
import time:       634 |        634 |           langchain_core.version
import time:      3333 |       6480 |         langchain_core
import time:       949 |        949 |           langchain_core.utils
import time:      1282 |       1282 |             packaging
import time:       787 |        787 |             packaging._structures
import time:      2103 |       4171 |           packaging.version
import time:      1721 |       1721 |               urllib3.exceptions
import time:      1007 |       1007 |                       urllib3.util.timeout
import time:      1649 |       2656 |                     urllib3.util.connection
import time:      1038 |       1038 |                       urllib3.util.util
import time:       854 |        854 |                       brotlicffi
import time:       795 |        795 |                       brotli
import time:      1787 |       1787 |                         zstandard.backend_c
import time:      2303 |       4089 |                       zstandard
import time:      1412 |       8188 |                     urllib3.util.request
import time:       901 |        901 |                     urllib3.util.response
import time:      1791 |       1791 |                     urllib3.util.retry
import time:      4165 |       4165 |                       urllib3.util.url
import time:      1098 |       1098 |                       urllib3.util.ssltransport
import time:      1113 |       6374 |                     urllib3.util.ssl_
import time:       988 |        988 |                     urllib3.util.wait
import time:      1273 |      22168 |                   urllib3.util
import time:       222 |      22390 |                 urllib3.util.connection
import time:      1144 |      23534 |               urllib3._base_connection
import time:      1260 |       1260 |               urllib3._collections
import time:       811 |        811 |               urllib3._version
import time:      1227 |       1227 |                   _queue
import time:      1339 |       2566 |                 queue
import time:      1113 |       1113 |                     urllib3.fields
import time:      1028 |       2141 |                   urllib3.filepost
import time:       857 |        857 |                     brotlicffi
import time:       876 |        876 |                     brotli
import time:      1169 |       1169 |                       urllib3.http2
import time:      1733 |       1733 |                       urllib3.http2.probe
import time:      1296 |       1296 |                       urllib3.util.ssl_match_hostname
import time:      1676 |       5873 |                     urllib3.connection
import time:      1355 |       8960 |                   urllib3.response
import time:       968 |      12068 |                 urllib3._request_methods
import time:       835 |        835 |                 urllib3.util.proxy
import time:      1145 |      16611 |               urllib3.connectionpool
import time:      1581 |       1581 |               urllib3.poolmanager
import time:      1864 |      47380 |             urllib3
import time:      1435 |       1435 |                     charset_normalizer.constant
import time:      1061 |       1061 |                       charset_normalizer.md__mypyc
import time:      1302 |       1302 |                         unicodedata
import time:      1104 |       2405 |                       charset_normalizer.utils
import time:      1523 |       4989 |                     charset_normalizer.md
import time:      1117 |       1117 |                     charset_normalizer.models
import time:      1075 |       8616 |                   charset_normalizer.cd
import time:      1416 |      10032 |                 charset_normalizer.api
import time:       869 |        869 |                 charset_normalizer.legacy
import time:       904 |        904 |                 charset_normalizer.version
import time:       860 |        860 |                 simplejson
import time:       960 |        960 |                       urllib.response
import time:      1208 |       2168 |                     urllib.error
import time:      1278 |       1278 |                     nturl2path
import time:      2717 |       6162 |                   urllib.request
import time:        56 |         56 |                       _locale
import time:      1765 |       1820 |                     locale
import time:      1703 |       3523 |                   calendar
import time:      2565 |      12250 |                 http.cookiejar
import time:      3149 |      28060 |               requests.compat
import time:      1474 |      29533 |             requests.exceptions
import time:       769 |        769 |             chardet
import time:      1165 |       1165 |                   idna.idnadata
import time:       958 |        958 |                   idna.intranges
import time:      1824 |       3946 |                 idna.core
import time:       864 |        864 |                 idna.package_data
import time:      1910 |       6719 |               idna
import time:       965 |       7684 |             requests.packages
import time:      1404 |       1404 |                   certifi.core
